wage,childrenNum,wedu,hedu,religon,isWorking,occupation,index,exposure,label
0.09090909090909094,0.0625,4.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
0.696969696969697,0.125,4.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0
1.0,0.5625,3.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.5454545454545454,0.125,4.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0
0.36363636363636365,0.0625,4.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0
0.2727272727272727,0.0,4.0,4.0,1.0,0.0,2.0,4.0,0.0,1.0
0.48484848484848486,0.125,4.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0
0.24242424242424243,0.0625,4.0,4.0,1.0,0.0,1.0,3.0,0.0,1.0
0.4242424242424243,0.0,4.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0
0.4545454545454546,0.125,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0
0.8787878787878789,0.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
1.0,0.375,3.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.9090909090909092,0.375,4.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.3939393939393939,0.0625,4.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
0.9393939393939394,0.0625,4.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0
0.7575757575757576,0.125,4.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.8181818181818181,0.1875,4.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0
0.5454545454545454,0.25,4.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0
0.4242424242424243,0.1875,4.0,4.0,1.0,0.0,2.0,4.0,0.0,1.0
0.4545454545454546,0.125,3.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.21212121212121215,0.125,4.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.9696969696969697,0.1875,4.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0
0.7272727272727273,0.125,4.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0
0.8787878787878789,0.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
0.8484848484848486,0.1875,4.0,4.0,1.0,0.0,1.0,4.0,1.0,1.0
0.8484848484848486,0.3125,4.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0
0.33333333333333337,0.125,4.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0
1.0,0.375,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0
0.303030303030303,0.0,4.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0
0.21212121212121215,0.0,4.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0
0.1515151515151515,0.0625,4.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0
0.303030303030303,0.0625,4.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
0.5757575757575757,0.0625,4.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0
0.7878787878787878,0.1875,4.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0
0.6666666666666667,0.25,4.0,4.0,0.0,1.0,3.0,4.0,0.0,2.0
0.5757575757575757,0.1875,2.0,4.0,0.0,0.0,3.0,4.0,1.0,2.0
0.33333333333333337,0.3125,3.0,2.0,1.0,1.0,2.0,4.0,0.0,2.0
0.5454545454545454,0.3125,4.0,4.0,1.0,1.0,3.0,4.0,0.0,2.0
0.4545454545454546,0.125,3.0,3.0,1.0,0.0,3.0,3.0,0.0,2.0
0.12121212121212122,0.0625,3.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0
0.5454545454545454,0.25,4.0,4.0,1.0,1.0,3.0,3.0,0.0,2.0
0.48484848484848486,0.125,4.0,4.0,1.0,0.0,3.0,4.0,0.0,2.0
0.18181818181818188,0.0625,3.0,4.0,1.0,1.0,4.0,4.0,0.0,2.0
0.303030303030303,0.1875,3.0,4.0,1.0,1.0,3.0,4.0,0.0,2.0
0.1515151515151515,0.0625,4.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0
0.21212121212121215,0.125,3.0,3.0,1.0,0.0,3.0,4.0,0.0,2.0
0.7272727272727273,0.125,3.0,4.0,0.0,1.0,3.0,4.0,0.0,2.0
